Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO,Name-additional
1,Pat Listach,1998-04-09,Cleveland Indians,CLE,30,-1.9,6,503,1772,250,444,5,143,116,167,.251,.316,.309,.626,,,,,,,,,,,,,listapa01
2,Mike Macfarlane,1998-04-08,Oakland Athletics,KCR,34,4.3,11,1002,3158,405,798,118,449,11,270,.253,.327,.436,.763,,,,,,,,,,,,,macfami01
3,Shane Mack,1998-04-08,Kansas City Royals,BOS,34,0.8,8,854,2648,405,795,74,369,82,241,.300,.366,.457,.823,,,,,,,,,,,,,macksh01
4,Aaron Holbert,1998-04-07,Seattle Mariners,STL,25,-0.1,1,1,3,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,,,,holbeaa01
5,Steve Sparks,1998-04-01,Anaheim Angels,MIL,32,3.1,2,1,0,0,0,0,0,0,0,,,,,13,18,5.23,1.552,53,40,0,290.2,313,36,138,117,sparkst01
6,Greg Hansell,1998-03-31,Oakland Athletics,MIL,27,-0.7,3,20,0,0,0,0,0,0,0,,,,,3,1,6.22,1.576,73,0,3,98.1,117,20,38,64,hansegr01
7,Carlos Garcia,1998-03-30,Anaheim Angels,TOR,30,-0.5,8,585,2132,269,573,33,197,71,111,.269,.309,.379,.688,,,,,,,,,,,,,garcica01
8,Brian Hunter,1998-03-30,St. Louis Cardinals,CIN,30,0.9,6,436,1122,134,266,49,193,3,83,.237,.288,.434,.722,,,,,,,,,,,,,huntebr01
9,Scott Livingstone,1998-03-30,Montreal Expos,STL,32,0.5,7,597,1423,162,408,17,165,9,84,.287,.323,.377,.700,,,,,,,,,,,,,livinsc01
10,Mike Maddux,1998-03-30,Montreal Expos,SDP,36,1.6,12,283,88,4,6,0,4,0,6,.068,.128,.080,.207,33,30,4.02,1.341,347,48,19,719.0,729,52,235,469,maddumi01
11,Craig Shipley,1998-03-30,Anaheim Angels,SDP,35,0.1,10,505,1198,137,326,18,121,33,42,.272,.302,.372,.674,,,,,,,,,,,,,shiplcr01
12,Chris Hammond,1998-03-27,Florida Marlins,BOS,32,0.7,8,163,229,30,47,4,14,0,27,.205,.288,.297,.585,46,53,4.51,1.430,188,133,1,830.0,882,78,305,505,hammoch01
13,Jim Bullinger,1998-03-26,Seattle Mariners,MON,32,-2.6,6,185,165,14,31,4,19,1,13,.188,.249,.315,.564,34,40,4.96,1.480,184,88,11,636.1,638,62,304,388,bulliji01
14,Mark Lemke,1998-03-26,Boston Red Sox,ATL,32,3.8,10,1038,3139,339,778,32,263,11,342,.248,.319,.327,.646,,,,,,,,,,,,,lemkema01
15,Pat Lennon,1998-03-25,Toronto Blue Jays,OAK,30,-0.3,4,80,156,21,42,1,16,0,25,.269,.370,.365,.736,,,,,,,,,,,,,lennopa01
16,Wil Cordero,1998-03-23,Chicago White Sox,BOS,26,1.8,6,623,2298,313,642,58,287,40,162,.279,.333,.426,.759,,,,,,,,,,,,,cordewi01
17,Kevin Baez,1998-03-20,Cincinnati Reds,MIN,31,,7,,,,,,,,,,,,,,,,,,,,,,,,,baezke01
18,Joey Eischen,1998-03-14,Cincinnati Reds,CIN,28,0.8,4,47,8,0,0,0,0,0,0,.000,.000,.000,.000,1,2,4.37,1.610,71,0,0,90.2,100,8,46,69,eischjo01
19,Scott Leius,1998-03-09,Kansas City Royals,CHW,32,-0.2,7,503,1416,204,352,27,158,15,156,.249,.323,.364,.687,,,,,,,,,,,,,leiussc01
20,Toby Borland,1998-03-07,Philadelphia Phillies,BOS,29,-0.1,4,156,12,1,1,0,2,0,0,.083,.077,.083,.160,9,7,3.96,1.516,159,0,8,215.2,212,15,115,169,borlato02
21,Robert Ellis,1998-03-04,Milwaukee Brewers,ANA,27,0.2,1,0,0,0,0,0,0,0,0,,,,,0,0,0.00,0.800,3,0,0,5.0,0,0,4,5,ellisro02
22,John Wehner,1998-03-04,Florida Marlins,FLA,31,-0.5,7,305,550,70,143,2,34,11,45,.260,.316,.331,.647,,,,,,,,,,,,,wehnejo01
23,Rich Sauveur,1998-03-01,Cincinnati Reds,CHC,34,-0.2,5,13,3,0,1,0,0,0,0,.333,.333,.333,.667,0,1,6.56,1.907,24,3,0,35.2,45,7,23,21,sauveri01
24,Jack McDowell,1998-02-27,Anaheim Angels,CLE,32,5.5,10,0,0,0,0,0,0,0,0,,,,,122,80,3.76,1.287,259,257,0,1794.0,1727,158,582,1254,mcdowja01
25,Chris Nichting,1998-02-26,Cleveland Indians,OAK,32,-0.3,1,0,0,0,0,0,0,0,0,,,,,0,0,7.03,2.014,13,0,0,24.1,36,1,13,6,nichtch01
26,Kirt Ojala,1998-02-20,Florida Marlins,FLA,29,0.6,1,7,7,0,0,0,0,0,0,.000,.000,.000,.000,1,2,3.14,1.605,7,5,0,28.2,28,4,18,19,ojalaki01
27,Donn Pall,1998-02-19,Florida Marlins,FLA,36,-0.5,9,24,3,0,0,0,0,0,1,.000,.250,.000,.250,24,22,3.53,1.290,305,0,10,472.0,477,47,132,252,palldo01
28,Shawon Dunston,1998-02-16,Cleveland Indians,PIT,35,3.1,13,1354,4928,604,1333,117,530,186,184,.270,.298,.412,.710,,,,,,,,,,,,,dunstsh01
29,Steve Ontiveros,1998-02-15,St. Louis Cardinals,ANA,37,1.2,9,17,12,3,1,0,3,0,1,.083,.154,.167,.321,33,30,3.62,1.243,204,72,19,656.1,613,59,203,381,ontivst02
30,Bobby Munoz,1998-02-06,Baltimore Orioles,LAD,30,-2.3,5,38,56,6,11,1,7,0,1,.196,.211,.286,.496,11,18,4.93,1.538,76,30,1,224.1,253,20,92,126,munozbo01
31,Curtis Pride,1998-02-06,Atlanta Braves,BOS,29,0.5,4,234,503,87,130,14,58,21,60,.258,.338,.427,.765,,,,,,,,,,,,,pridecu01
32,Luis Rivera,1998-02-05,Houston Astros,HOU,34,0.0,10,739,2126,235,494,28,202,19,164,.232,.290,.335,.625,,,,,,,,,,,,,riverlu01
33,Jose Canseco,1998-02-04,Toronto Blue Jays,OAK,33,5.8,13,1449,5459,920,1470,351,1107,164,674,.269,.353,.516,.869,,,,,,,,,,,,,cansejo01
34,Andy Benes,1998-02-03,,STL,30,8.3,9,248,502,29,70,4,35,0,18,.139,.174,.191,.365,104,94,3.64,1.253,261,258,1,1705.1,1564,160,573,1416,benesan01
35,Shawn Boskie,1998-02-03,Montreal Expos,BAL,31,0.3,8,133,141,9,26,1,8,0,8,.184,.228,.270,.498,48,60,5.06,1.450,212,127,1,852.2,948,128,288,484,boskish01
36,Mike Mordecai,1998-02-03,Montreal Expos,ATL,30,-1.1,4,200,268,31,62,6,25,1,25,.231,.294,.354,.648,,,,,,,,,,,,,mordemi01
37,Deion Sanders,1998-02-03,Cincinnati Reds,CIN,30,1.5,8,609,2048,302,545,38,164,183,155,.266,.322,.398,.720,,,,,,,,,,,,,sandede02
38,Terry Mulholland,1998-02-02,Chicago Cubs,SFG,35,0.4,11,267,505,18,50,2,13,1,9,.099,.116,.131,.247,87,102,4.29,1.310,303,257,0,1707.2,1807,173,430,891,mulhote01
39,Gregg Olson,1998-01-31,,KCR,31,0.6,10,31,2,0,0,0,0,0,0,.000,.000,.000,.000,28,29,3.20,1.387,456,0,173,500.1,441,25,253,449,olsongr01
40,Geronimo Berroa,1998-01-29,Cleveland Indians,BAL,33,5.7,8,661,2222,343,629,99,358,18,239,.283,.352,.468,.821,,,,,,,,,,,,,berroge01
41,Ozzie Guillen,1998-01-29,Baltimore Orioles,CHW,34,-2.2,13,1743,6067,693,1608,24,565,163,193,.265,.286,.339,.625,,,,,,,,,,,,,guilloz01
42,Carlos Valdez,1998-01-29,Boston Red Sox,BOS,26,-0.2,1,11,1,0,0,0,0,0,0,.000,.000,.000,.000,0,1,6.14,1.841,11,0,0,14.2,19,1,8,7,valdeca01
