Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary,Name-additional
1,Brent Abernathy,27,MIN,AL,22,17,6,155.1,68,29,37,2,9,.971,-2,-19,0,0,0,3.82,3.00,2B-OF,abernbr01
2,Bobby Abreu,31,PHI,NL,158,158,141,1364.0,277,266,7,4,0,.986,-1,0,-16,-14,-4,1.80,1.73,OF,abreubo01
3,Jeremy Accardo,23,SFG,NL,28,0,0,29.2,6,1,4,1,1,.833,,,1,7,0,1.52,0.18,P,accarje01
4,Jose Acevedo,27,COL,NL,36,5,0,64.0,15,8,7,0,1,1.000,,,1,3,0,2.11,0.42,P,acevejo01
5,Mike Adams,26,MIL,NL,13,0,0,13.1,1,1,0,0,0,1.000,,,0,0,0,0.68,0.08,P,adamsmi03
6,Russ Adams,24,TOR,AL,132,122,113,1100.0,546,194,326,26,68,.952,-15,-16,-13,-14,0,4.25,3.94,SS,adamsru01
7,Terry Adams,32,PHI,NL,16,0,0,13.1,2,0,2,0,0,1.000,,,0,0,0,1.35,0.13,P,adamste01
8,Jon Adkins,27,CHW,AL,5,0,0,8.1,2,0,2,0,0,1.000,,,0,0,0,2.16,0.40,P,adkinjo01
9,Jeremy Affeldt,26,KCR,AL,49,0,0,49.2,8,1,6,1,0,.875,,,1,4,0,1.27,0.14,P,affelje01
10,Chris Aguila,26,FLA,NL,42,12,8,144.1,41,40,1,0,0,1.000,-3,-22,-2,-16,2,2.56,0.98,OF,aguilch01
11,Manny Alexander,34,SDP,NL,10,4,3,52.0,20,5,14,1,1,.950,0,-2,-1,-23,0,3.29,1.73,SS-2B-3B-1B,alexama02
12,Antonio Alfonseca,33,FLA,NL,33,0,0,27.1,7,3,4,0,2,1.000,,,0,0,0,2.30,0.21,P,alfonan01
13,Edgardo Alfonzo,31,SFG,NL,99,94,79,825.1,250,80,162,8,12,.968,-12,-17,-8,-11,0,2.64,2.44,3B-2B,alfoned01
14,Chad Allen,30,TEX,AL,2,1,0,9.0,1,1,0,0,0,1.000,-1,-120,0,0,0,1.00,0.50,OF,allench01
15,Armando Almanza,32,ARI,NL,6,0,0,4.0,2,1,1,0,1,1.000,,,0,0,0,4.50,0.33,P,almanar01
16,Carlos Almanzar,31,TEX,AL,6,0,0,5.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,almanca01
17,Sandy Alomar,39,TEX,AL,46,34,32,315.2,239,231,6,2,0,.992,-5,-19,-3,-12,1,6.76,5.15,C,alomasa02
18,Moises Alou,38,SFG,NL,117,117,86,988.2,235,222,5,8,3,.966,-2,-2,-6,-7,-4,2.07,1.94,OF,aloumo01
19,Abe Alvarez,22,BOS,AL,2,0,0,2.1,1,0,1,0,0,1.000,,,0,0,0,3.86,0.50,P,alvarab01
20,Wilson Alvarez,35,LAD,NL,21,2,0,24.0,2,0,2,0,0,1.000,,,0,0,0,0.75,0.10,P,alvarwi01
