Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary,Name-additional
61,Miguel Batista,31,ARI,NL,36,29,1,184.2,42,8,33,1,2,.976,,,2.00,1.14,P,batismi01
62,Tony Batista,28,BAL,AL,154,154,149,1374.2,417,111,290,16,35,.962,4,4,2.63,2.60,3B,batisto01
63,Rick Bauer,25,BAL,AL,56,1,0,83.2,16,1,15,0,2,1.000,,,1.72,0.29,P,bauerri01
64,Danny Bautista,30,ARI,NL,39,39,31,327.1,66,65,0,1,0,.985,-3,-11,1.79,1.67,OF,bautida01
65,Steve Bechler,22,BAL,AL,3,0,0,4.2,1,1,0,0,0,1.000,,,1.93,0.33,P,bechlst01
66,Josh Beckett,22,FLA,NL,23,21,0,107.2,21,11,9,1,0,.952,,,1.67,0.87,P,beckejo02
67,Erik Bedard,23,BAL,AL,2,0,0,0.2,0,0,0,0,0,,,,0.00,0.00,P,bedarer01
68,Joe Beimel,25,PIT,NL,53,8,0,85.1,16,1,12,3,1,.813,,,1.37,0.25,P,beimejo01
69,Kevin Beirne,28,LAD,NL,12,3,0,29.0,4,1,3,0,0,1.000,,,1.24,0.33,P,beirnke01
70,David Bell,29,SFG,NL,151,143,124,1266.0,412,116,284,12,30,.971,9,8,2.84,2.56,3B-2B-SS-1B,bellda01
71,Jay Bell,36,ARI,NL,14,9,4,80.0,36,22,14,0,2,1.000,0,6,4.05,2.40,3B-1B-SS-2B,bellja01
72,Rob Bell,25,TEX,AL,17,15,0,94.0,32,18,13,1,0,.969,,,2.97,1.82,P,bellro01
73,Mark Bellhorn,27,CHC,NL,134,109,83,995.2,486,242,233,11,62,.977,-7,-9,4.29,3.21,2B-3B-1B-SS-OF,bellhma01
74,Ronnie Belliard,27,MIL,NL,87,60,55,594.0,267,108,149,10,32,.963,-7,-14,3.89,2.82,2B-3B,belliro01
75,Clay Bellinger,33,ANA,AL,2,0,0,3.0,2,2,0,0,0,1.000,0,0,6.00,1.00,1B,bellicl01
76,Carlos Beltrán,25,KCR,AL,149,149,143,1308.1,417,398,12,7,0,.983,-6,-5,2.82,2.75,OF,beltrca01
77,Francis Beltran,22,CHC,NL,11,0,0,12.0,4,0,4,0,1,1.000,,,3.00,0.36,P,beltrfr01
78,Adrián Beltré,23,LAD,NL,157,154,144,1371.0,434,120,294,20,18,.954,0,0,2.72,2.64,3B,beltrad01
79,Marvin Benard,31,SFG,NL,38,17,11,190.2,53,50,3,0,0,1.000,3,17,2.50,1.39,OF,benarma01
80,Alan Benes,30,CHC,NL,7,7,0,39.1,6,2,4,0,2,1.000,,,1.37,0.86,P,benesal01
81,Andy Benes,34,STL,NL,18,17,1,97.0,16,5,10,1,1,.938,,,1.39,0.83,P,benesan01
82,Armando Benitez,29,NYM,NL,62,0,0,67.1,12,2,8,2,0,.833,,,1.34,0.16,P,benitar01
83,Mike Benjamin,36,PIT,NL,87,23,15,307.1,151,58,91,2,15,.987,2,9,4.36,1.66,3B-SS-2B-1B-OF,benjami01
84,Gary Bennett,30,COL,NL,90,85,67,726.2,489,453,32,4,5,.992,-4,-7,6.01,5.39,C,bennega01
85,Joaquín Benoit,24,TEX,AL,17,13,0,84.2,8,4,4,0,1,1.000,,,0.85,0.47,P,benoijo01
86,Kris Benson,27,PIT,NL,25,25,0,130.1,25,12,11,2,2,.920,,,1.59,0.92,P,bensokr01
87,Jason Bere,31,CHC,NL,16,16,0,85.2,17,4,11,2,1,.882,,,1.58,0.94,P,bereja01
88,Dave Berg,31,TOR,AL,98,89,71,782.2,383,185,188,10,49,.974,-3,-4,4.29,3.45,2B-3B-OF-SS-1B,bergda01
89,Brandon Berger,27,KCR,AL,37,27,19,250.1,65,61,4,0,1,1.000,1,2,2.34,1.76,OF-1B,bergebr01
90,Peter Bergeron,24,MON,NL,31,30,29,277.1,78,76,0,2,0,.974,-2,-8,2.47,2.45,OF,bergepe01
91,Lance Berkman,26,HOU,NL,156,155,96,1364.1,306,293,6,7,1,.977,-11,-10,1.97,1.92,OF,berkmla01
92,Adam Bernero,25,DET,AL,28,11,0,101.2,15,4,10,1,1,.933,,,1.24,0.50,P,bernead01
93,Angel Berroa,24,KCR,AL,20,20,19,178.2,112,41,67,4,13,.964,2,12,5.44,5.40,SS,berroan01
94,Jason Beverlin,28,TOT,AL,7,3,0,19.2,0,0,0,0,0,,,,0.00,0.00,P,beverja01
95,Rocky Biddle,26,CHW,AL,44,7,0,77.2,16,8,8,0,0,1.000,,,1.85,0.36,P,biddlro01
96,Larry Bigbie,24,BAL,AL,12,7,4,65.0,19,19,0,0,0,1.000,1,24,2.63,1.58,OF,bigbila01
97,Craig Biggio,36,HOU,NL,143,141,136,1245.2,674,314,352,8,88,.988,-18,-17,4.81,4.66,2B-OF,biggicr01
98,Casey Blake,28,MIN,AL,8,5,5,53.1,25,17,6,2,1,.920,-1,-27,3.88,2.88,3B-1B,blakeca01
99,Hank Blalock,21,TEX,AL,46,42,40,383.2,106,28,72,6,7,.943,-2,-8,2.35,2.17,3B,blaloha01
100,Henry Blanco,30,ATL,NL,79,64,51,595.2,458,417,38,3,1,.993,3,6,6.87,5.76,C,blanche01
101,Willie Bloomquist,24,SEA,AL,9,8,2,70.0,27,17,10,0,1,1.000,0,0,3.47,2.45,OF-2B,bloomwi01
102,Geoff Blum,29,HOU,NL,115,95,85,873.0,288,79,201,8,28,.972,4,5,2.89,2.37,3B-OF-2B-1B-SS,blumge01
103,Hiram Bocachica,26,TOT,MLB,55,31,26,319.2,89,79,7,3,0,.966,-3,-11,2.42,1.54,OF-2B,bocachi01
104,Brian Boehringer,33,PIT,NL,70,0,0,79.2,9,2,7,0,0,1.000,,,1.02,0.13,P,boehrbr01
105,Barry Bonds,37,SFG,NL,135,133,101,1115.0,253,241,4,8,2,.968,0,0,1.98,1.81,OF,bondsba01
106,Jung Bong,21,ATL,NL,1,1,0,6.0,1,0,1,0,1,1.000,,,1.50,1.00,P,bongju01
107,Aaron Boone,29,CIN,NL,160,154,142,1384.1,494,113,359,22,48,.955,8,7,3.07,2.78,3B-SS,booneaa01
108,Bret Boone,33,SEA,AL,153,152,138,1317.1,645,251,387,7,84,.989,1,1,4.36,4.17,2B,boonebr01
109,Pedro Borbon,34,TOT,ZZ,72,0,0,50.1,12,6,6,0,1,1.000,,,2.15,0.17,P,borbope02
110,Joe Borchard,23,CHW,AL,15,9,6,89.0,21,21,0,0,0,1.000,1,7,2.12,1.40,OF,borchjo01
111,Pat Borders,39,SEA,AL,2,0,0,4.0,2,2,0,0,0,1.000,0,0,4.50,1.00,C,bordepa01
112,Mike Bordick,36,BAL,AL,117,115,96,1007.2,570,197,372,1,92,.998,18,21,5.08,4.86,SS,bordimi01
113,Toby Borland,33,FLA,NL,15,0,0,13.2,2,1,1,0,0,1.000,,,1.32,0.13,P,borlato02
114,Joe Borowski,31,CHC,NL,73,0,0,95.2,15,5,9,1,3,.933,,,1.32,0.19,P,borowjo01
115,Ricky Bottalico,32,PHI,NL,30,0,0,27.1,5,2,3,0,0,1.000,,,1.65,0.17,P,bottari01
116,Micah Bowie,27,OAK,AL,13,0,0,12.0,3,1,2,0,0,1.000,,,2.25,0.23,P,bowiemi01
117,Brian Bowles,25,TOR,AL,17,0,0,20.0,4,1,3,0,0,1.000,,,1.80,0.24,P,bowlebr01
118,Jason Boyd,29,SDP,NL,23,0,0,28.1,10,3,7,0,0,1.000,,,3.18,0.43,P,boydja02
119,Chad Bradford,27,OAK,AL,75,0,0,75.1,21,10,10,1,1,.952,,,2.39,0.27,P,bradfch01
120,Milton Bradley,24,CLE,AL,94,86,81,749.0,227,214,9,4,2,.982,-7,-10,2.68,2.37,OF,bradlmi01
121,Darren Bragg,32,ATL,NL,63,37,32,399.2,103,98,2,3,0,.971,5,15,2.25,1.59,OF,braggda01
122,Russell Branyan,26,TOT,MLB,105,97,70,836.2,345,285,52,8,26,.977,-6,-9,3.63,3.09,OF-3B-1B,branyru01
123,Dewon Brazelton,22,TBD,AL,2,2,0,13.0,2,1,1,0,0,1.000,,,1.38,1.00,P,brazede01
124,Juan Brito,22,KCR,AL,9,8,4,63.0,46,42,3,1,1,.978,0,0,6.43,5.00,C,britoju01
125,Chris Brock,32,BAL,AL,22,0,0,44.0,9,2,6,1,2,.889,,,1.64,0.36,P,brockch01
126,Troy Brohawn,29,SFG,NL,11,0,0,5.2,1,1,0,0,0,1.000,,,1.59,0.09,P,brohatr01
127,Ben Broussard,25,CLE,AL,35,32,17,257.1,78,74,2,2,2,.974,-2,-11,2.66,2.11,OF-1B,brousbe01
128,Jim Brower,29,TOT,NL,52,0,0,80.1,21,9,12,0,0,1.000,,,2.35,0.40,P,broweji01
129,Adrian Brown,28,PIT,NL,71,44,40,440.2,116,112,1,3,0,.974,1,1,2.31,1.59,OF,brownad01
130,Dee Brown,24,KCR,AL,8,8,8,69.0,13,12,0,1,0,.923,-3,-57,1.57,1.50,OF,brownde02
131,Kevin Brown,37,LAD,NL,17,10,0,63.2,15,5,9,1,0,.933,,,1.98,0.82,P,brownke01
132,Kevin Brown,29,BOS,AL,2,0,0,3.0,1,1,0,0,0,1.000,0,0,3.00,0.50,C,brownke04
133,Roosevelt Brown,26,CHC,NL,64,41,18,375.1,81,78,1,2,1,.975,-3,-10,1.89,1.23,OF,brownro02
134,Brian Buchanan,28,TOT,MLB,51,40,18,335.1,148,140,7,1,6,.993,0,0,3.95,2.77,OF-1B,buchabr01
135,Mike Buddie,31,MIL,NL,25,0,0,39.2,17,5,10,2,0,.882,,,3.40,0.60,P,buddimi01
136,Mark Buehrle,23,CHW,AL,34,34,5,239.0,54,6,46,2,2,.963,,,1.96,1.53,P,buehrma01
137,Ryan Bukvich,24,KCR,AL,26,0,0,25.0,9,2,4,3,0,.667,,,2.16,0.23,P,bukviry01
138,Dave Burba,35,TOT,AL,35,21,1,145.1,21,10,10,1,2,.952,,,1.24,0.57,P,burbada01
139,John Burkett,37,BOS,AL,29,29,1,173.0,20,8,11,1,0,.950,,,0.99,0.66,P,burkejo03
140,Ellis Burks,37,CLE,AL,6,6,4,41.1,6,6,0,0,0,1.000,-1,-17,1.31,1.00,OF,burksel01
141,A.J. Burnett,25,FLA,NL,31,29,7,204.1,35,12,19,4,3,.886,,,1.37,1.00,P,burnea.01
142,Jeromy Burnitz,33,NYM,NL,140,131,109,1148.0,265,249,7,9,0,.966,2,2,2.01,1.83,OF,burnije01
143,Pat Burrell,25,PHI,NL,157,154,147,1383.0,287,273,8,6,1,.979,0,0,1.83,1.79,OF,burrepa01
144,Sean Burroughs,21,SDP,NL,55,50,35,416.1,158,59,91,8,13,.949,-6,-16,3.24,2.46,3B-2B,burrose01
145,Homer Bush,29,TOT,MLB,38,28,22,263.2,123,49,72,2,14,.984,-3,-15,4.13,3.18,2B-SS,bushho01
146,Brent Butler,24,COL,NL,104,78,59,727.1,367,140,218,9,51,.975,1,2,4.43,3.03,2B-3B-SS,butlebr02
147,Mike Bynum,24,SDP,NL,14,3,0,27.1,4,0,4,0,0,1.000,,,1.32,0.29,P,bynummi01
148,Marlon Byrd,24,PHI,NL,10,9,6,77.0,17,17,0,0,0,1.000,-1,-16,1.99,1.70,OF,byrdma01
149,Paul Byrd,31,KCR,AL,33,33,7,228.1,34,18,15,1,1,.971,,,1.30,1.00,P,byrdpa01
150,Eric Byrnes,26,OAK,AL,79,19,13,261.0,55,53,1,1,0,.982,2,9,1.86,0.68,OF,byrneer01
151,Jolbert Cabrera,29,TOT,MLB,42,21,16,222.1,65,53,12,0,3,1.000,-3,-18,2.63,1.44,OF-2B-3B,cabrejo02
152,Jose Cabrera,30,MIL,NL,50,11,0,103.1,20,8,10,2,2,.900,,,1.57,0.36,P,cabrejo01
153,Orlando Cabrera,27,MON,NL,153,150,150,1352.1,764,237,498,29,102,.962,3,3,4.89,4.80,SS,cabreor01
154,Miguel Cairo,28,STL,NL,54,26,14,253.2,109,66,39,4,12,.963,-1,-4,3.73,1.78,OF-2B-3B-SS-1B,cairomi01
155,Mickey Callaway,27,ANA,AL,6,6,0,34.1,10,4,4,2,1,.800,,,2.10,1.33,P,callami01
156,Mike Cameron,29,SEA,AL,155,147,141,1318.0,426,415,6,5,0,.988,-3,-3,2.87,2.72,OF,camermi01
157,Jay Canizaro,28,MIN,AL,38,32,24,279.0,123,42,78,3,16,.976,-1,-3,3.87,3.16,2B-3B,canizja01
158,Javier Cardona,26,SDP,NL,14,11,10,100.0,83,76,5,2,2,.976,1,12,7.29,5.79,C,cardoja01
159,Chris Carpenter,27,TOR,AL,13,13,1,73.1,10,7,3,0,0,1.000,,,1.23,0.77,P,carpech01
160,Giovanni Carrara,34,LAD,NL,63,1,0,90.2,26,8,18,0,1,1.000,,,2.58,0.41,P,carragi01
161,Jamey Carroll,28,MON,NL,16,16,15,153.2,53,13,36,4,4,.925,-2,-12,2.87,2.88,3B-SS-2B,carroja01
162,Lance Carter,27,TBD,AL,8,0,0,20.1,4,1,3,0,1,1.000,,,1.77,0.50,P,cartela02
163,Mike Caruso,25,KCR,AL,11,4,4,52.1,30,15,14,1,1,.967,0,-7,4.99,2.64,2B-SS-3B,carusmi01
164,Raul Casanova,29,TOT,ZZ,30,25,22,220.1,183,169,13,1,0,.995,-1,-5,7.43,6.07,C,casanra01
165,Sean Casey,27,CIN,NL,108,106,100,935.0,1004,927,70,7,93,.993,6,8,9.60,9.23,1B,caseyse01
166,Kevin Cash,24,TOR,AL,7,4,2,38.0,31,26,4,1,1,.968,-1,-32,7.11,4.29,C,cashke01
167,Scott Cassidy,26,TOR,AL,58,0,0,66.0,9,0,8,1,0,.889,,,1.09,0.14,P,cassisc01
168,Vinny Castilla,34,ATL,NL,139,138,126,1222.0,337,75,256,6,23,.982,3,2,2.44,2.38,3B,castivi02
169,Alberto Castillo,32,NYY,AL,14,12,10,103.0,103,93,9,1,0,.990,0,0,8.91,7.29,C,castial01
170,Frank Castillo,33,BOS,AL,36,23,0,163.1,28,10,18,0,0,1.000,,,1.54,0.78,P,castifr01
171,Luis Castillo,26,FLA,NL,144,143,130,1257.2,673,269,391,13,93,.981,-9,-8,4.72,4.58,2B,castilu01
172,Juan Castro,30,CIN,NL,41,16,9,190.2,102,37,62,3,18,.971,2,13,4.67,2.25,SS-2B-3B-1B,castrju01
173,Ramon Castro,26,FLA,NL,37,17,16,203.1,160,148,12,0,0,1.000,0,0,7.08,4.32,C,castrra01
174,Frank Catalanotto,28,TEX,AL,57,43,26,398.2,199,145,52,2,14,.990,-3,-10,4.45,3.08,OF-2B-1B,catalfr01
175,Roger Cedeno,27,NYM,NL,132,125,102,1087.1,235,225,2,8,0,.966,-4,-5,1.88,1.72,OF,cedenro01
176,Matthew Cepicky,24,MON,NL,17,14,9,128.0,21,21,0,0,0,1.000,-2,-22,1.48,1.24,OF,cepicma01
177,Jaime Cerda,23,NYM,NL,32,0,0,25.2,3,1,1,1,0,.667,,,0.70,0.06,P,cerdaja01
178,Shawn Chacon,24,COL,NL,21,21,0,119.1,35,18,15,2,1,.943,,,2.49,1.57,P,chacosh01
179,Endy Chavez,24,MON,NL,35,27,27,274.0,90,82,7,1,2,.989,7,28,2.92,2.54,OF,chaveen01
180,Eric Chavez,24,OAK,AL,143,143,136,1266.0,438,120,301,17,24,.961,-2,-2,2.99,2.92,3B-OF,chaveer01
181,Raul Chavez,29,HOU,NL,2,1,1,14.0,10,10,0,0,0,1.000,0,0,6.43,5.00,C,chavera01
182,Bruce Chen,25,TOT,NL,55,6,0,77.2,12,6,6,0,0,1.000,,,1.39,0.22,P,chenbr01
183,Chin-Feng Chen,24,LAD,NL,1,1,1,9.0,3,3,0,0,0,1.000,1,67,3.00,3.00,OF,chench01
184,Scott Chiasson,24,CHC,NL,4,0,0,4.2,1,0,1,0,0,1.000,,,1.93,0.25,P,chiassc01
185,Matt Childers,23,MIL,NL,8,0,0,9.0,2,0,2,0,1,1.000,,,2.00,0.25,P,childma01
186,Randy Choate,26,NYY,AL,18,0,0,22.1,3,1,2,0,0,1.000,,,1.21,0.17,P,choatra01
187,Hee-Seop Choi,23,CHC,NL,22,12,12,125.2,116,106,8,2,16,.983,-2,-17,8.16,5.18,1B,choihe01
188,McKay Christensen,26,NYM,NL,3,0,0,7.2,3,3,0,0,0,1.000,1,78,3.52,1.00,OF,chrismc01
189,Ryan Christenson,28,MIL,NL,21,14,11,141.2,38,38,0,0,0,1.000,3,22,2.41,1.81,OF,chrisry01
190,Jason Christiansen,32,SFG,NL,6,0,0,5.0,0,0,0,0,0,,,,0.00,0.00,P,chrisja01
191,Alex Cintron,23,ARI,NL,34,20,19,200.1,93,36,56,1,15,.989,0,2,4.13,2.63,2B-SS-3B,cintral01
192,Jeff Cirillo,32,SEA,AL,146,130,113,1151.2,377,144,224,9,25,.976,9,9,2.88,2.42,3B-1B,cirilje01
193,Brady Clark,29,TOT,NL,28,7,3,99.2,20,19,0,1,0,.950,-1,-8,1.72,0.68,OF,clarkbr02
194,Howie Clark,28,BAL,AL,5,5,4,42.0,17,17,0,0,2,1.000,1,23,3.64,3.40,OF-1B,clarkho02
195,Tony Clark,30,BOS,AL,85,70,62,638.0,717,653,58,6,54,.992,3,5,10.03,8.36,1B,clarkto02
196,Royce Clayton,32,CHW,AL,109,100,95,883.1,463,166,292,5,72,.989,5,6,4.67,4.20,SS,claytro01
197,Roger Clemens,39,NYY,AL,29,29,0,180.0,29,12,17,0,0,1.000,,,1.45,1.00,P,clemero02
198,Matt Clement,27,CHC,NL,32,32,3,205.0,33,8,23,2,1,.939,,,1.36,0.97,P,clemema01
199,Pasqual Coco,24,TOR,AL,2,0,0,1.0,0,0,0,0,0,,,,0.00,0.00,P,cocopa01
200,Dave Coggin,25,PHI,NL,38,7,0,77.0,13,5,8,0,0,1.000,,,1.52,0.34,P,coggida01
201,Mike Colangelo,25,OAK,AL,19,5,4,75.0,17,17,0,0,0,1.000,-1,-21,2.04,0.89,OF,colanmi01
202,Greg Colbrunn,32,ARI,NL,44,39,14,294.2,278,261,15,2,16,.993,-1,-4,8.43,6.13,1B-3B,colbrgr01
203,Lou Collier,28,MON,NL,10,3,1,31.2,8,7,1,0,0,1.000,-1,-42,2.27,0.80,OF-2B-3B,collilo01
204,Jesus Colome,24,TBD,AL,32,0,0,41.1,12,4,8,0,0,1.000,,,2.61,0.38,P,colomje01
205,Bartolo Colon,29,TOT,ZZ,33,33,8,233.1,48,13,32,3,4,.938,,,1.74,1.36,P,colonba01
206,Clay Condrey,26,SDP,NL,9,3,0,26.2,5,3,2,0,1,1.000,,,1.69,0.56,P,condrcl01
207,Jeff Conine,36,BAL,AL,108,108,102,965.2,1023,955,58,10,99,.990,-4,-5,9.44,9.29,1B-OF,coninje01
208,Jason Conti,27,TBD,AL,74,59,51,545.2,177,163,8,6,1,.966,6,12,2.82,2.31,OF,contija01
209,Aaron Cook,23,COL,NL,9,5,0,35.2,14,4,9,1,3,.929,,,3.28,1.44,P,cookaa01
210,Dennis Cook,39,ANA,AL,37,0,0,24.0,3,2,0,1,0,.667,,,0.75,0.05,P,cookde01
211,Mike Coolbaugh,30,STL,NL,4,3,2,26.0,8,0,8,0,3,1.000,1,37,2.77,2.00,3B,coolbmi01
212,Ron Coomer,35,NYY,AL,37,28,15,252.0,118,72,39,7,7,.941,-3,-16,3.96,3.00,3B-1B,coomero01
213,Brian Cooper,27,TOR,AL,2,2,0,8.1,2,2,0,0,0,1.000,,,2.16,1.00,P,coopebr01
214,Alex Cora,26,LAD,NL,87,63,42,606.0,301,97,197,7,43,.977,4,8,4.37,2.91,SS-2B,coraal01
215,Francisco Cordero,27,TEX,AL,39,0,0,45.1,10,5,5,0,0,1.000,,,1.99,0.26,P,cordefr01
216,Wil Cordero,30,TOT,ZZ,43,34,19,289.1,130,120,8,2,7,.985,1,5,3.98,2.98,OF-1B,cordewi01
217,Marty Cordova,32,BAL,AL,72,72,62,620.1,138,132,2,4,1,.971,-2,-4,1.94,1.86,OF,cordoma01
