Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary,Name-additional
1,Jeff Abbott,26,CHW,AL,17,17,10,136.0,26,25,0,1,0,.962,2,18,1.65,1.47,OF,abbotje01
2,Jim Abbott,31,MIL,NL,20,15,0,82.0,27,3,23,1,1,.963,,,2.85,1.30,P,abbotji01
3,Kurt Abbott,30,COL,NL,80,69,55,577.1,343,188,151,4,42,.988,-4,-9,5.28,4.19,2B-1B-OF-SS,abbotku01
4,Paul Abbott,31,SEA,AL,25,7,0,72.2,15,7,8,0,1,1.000,,,1.86,0.60,P,abbotpa01
5,Bobby Abreu,25,PHI,NL,146,145,136,1267.2,271,260,8,3,0,.989,5,4,1.90,1.84,OF,abreubo01
6,Juan Acevedo,29,STL,NL,50,12,0,102.1,14,5,7,2,0,.857,,,1.06,0.24,P,aceveju01
7,Terry Adams,26,CHC,NL,52,0,0,65.0,15,8,6,1,0,.933,,,1.94,0.27,P,adamste01
8,Benny Agbayani,27,NYM,NL,80,70,26,597.0,125,121,2,2,0,.984,-3,-7,1.85,1.54,OF,agbaybe01
9,Rick Aguilera,37,TOT,ZZ,61,0,0,67.2,13,6,7,0,1,1.000,,,1.73,0.21,P,aguilri01
10,Scott Aldred,31,TOT,ZZ,66,0,0,56.2,10,2,8,0,0,1.000,,,1.59,0.15,P,aldresc01
11,Manny Alexander,28,CHC,NL,57,30,13,290.0,151,56,88,7,13,.954,0,0,4.47,2.03,SS-3B-2B-OF,alexama02
12,Antonio Alfonseca,27,FLA,NL,73,0,0,77.2,19,5,14,0,2,1.000,,,2.20,0.26,P,alfonan01
13,Edgardo Alfonzo,25,NYM,NL,158,158,145,1380.2,712,298,409,5,98,.993,9,7,4.61,4.47,2B,alfoned01
14,Luis Alicea,33,TEX,AL,47,36,32,334.2,171,66,100,5,22,.971,2,8,4.46,3.46,2B-3B-OF,alicelu01
15,Chad Allen,24,MIN,AL,133,129,113,1115.0,283,267,9,7,3,.975,-9,-10,2.23,2.08,OF,allench01
16,Jermaine Allensworth,27,NYM,NL,33,13,4,166.2,48,47,1,0,1,1.000,1,9,2.59,1.45,OF,allenje01
